"age","C","YL"
"0","14.181029676182","0"
"1","12.520009423266","0"
"2","12.479176528312","0"
"3","13.227578817752","0"
"4","13.191572354061","0"
"5","13.386829937056","0.66297181443413"
"6","13.921456785502","0.7476308290294"
"7","14.050895346","0.80821471958811"
"8","14.174399598111","0.87151750569581"
"9","14.311904187081","0.95129642247631"
"10","14.458645495335","1.0396133836219"
"11","14.669576339345","1.1573575667173"
"12","14.869079743701","1.3375725737247"
"13","14.921620625417","1.5528876256387"
"14","15.064296395976","1.7847600736577"
"15","15.164977113224","2.0064070260307"
"16","15.201422469514","2.2480542950429"
"17","15.090100556974","2.5061866026444"
"18","14.751620283883","2.7706544555252"
"19","14.236384581021","3.009740887592"
"20","15.519043536933","3.323865372848"
"21","14.757247583943","3.7067053390943"
"22","14.08071605301","4.051769558863"
"23","13.582044885999","4.4696911968503"
"24","13.170596618085","4.9443597243704"
"25","12.700819468765","5.3901712010115"
"26","12.198593836668","5.8008970889309"
"27","11.602115341251","6.371433567569"
"28","10.952639338118","6.8735954855086"
"29","10.283120583135","7.2181095866847"
"30","9.6102377007704","7.6757313597653"
"31","9.056674633793","8.2200477897614"
"32","8.565078168839","8.7712271419758"
"33","8.1400965519098","9.1378293679874"
"34","7.7579552894274","9.4406395615403"
"35","7.4267473718875","9.6633959254724"
"36","7.08039402475","9.8013406938514"
"37","6.7718108277796","9.8116893519381"
"38","6.4967540263304","9.7142366394208"
"39","6.2285566793594","9.5011970952964"
"40","5.8249568070275","9.2045705111956"
"41","5.5869940910062","8.8397178665307"
"42","5.3479720703576","8.4424287460552"
"43","5.1427527528658","7.9912311879342"
"44","4.9389520439436","7.3997938167242"
"45","4.7345700497161","6.9503404521676"
"46","4.5574504289371","6.6109205820487"
"47","4.3861215565493","6.3303903378728"
"48","4.2491790391631","6.0183271639741"
"49","4.1175487682285","5.628175608019"
"50","3.9811970444616","5.3387086965156"
"51","3.856515682053","5.1784983970141"
"52","3.7376415104256","5.1469551735185"
"53","3.6300165803049","5.0756270888927"
"54","3.5100488412821","4.8959069433858"
"55","3.3793171713012","4.6901746408052"
"56","3.2538345353603","4.5048560217532"
"57","3.1309427576471","4.3882399614606"
"58","2.99542698126","4.2198511555478"
"59","2.8574469292849","3.9420356935531"
"60","2.7119414565556","3.5640620095317"
"61","2.5536810443203","3.1079500203032"
"62","2.3971927768689","2.6735811549306"
"63","2.2617483913613","2.2934538334807"
"64","2.1367289623225","1.9048233348429"
"65","2.0260017255586","1.561648033302"
"66","1.9105130714892","1.2759528055093"
"67","1.7807563880175","1.0645132424882"
"68","1.6479526205323","0.88690780015177"
"69","1.5193777257606","0.73239429110631"
"70","1.401539816332","0.59868296708252"
"71","1.2900976597254","0.48069733490768"
"72","1.1735962528076","0.36681142378641"
"73","1.0580380818134","0.27991024195307"
"74","0.93931435711561","0.20225703597708"
"75","0.82535449558355","0.16605382431348"
"76","0.73073605685403","0.13698991875529"
"77","0.66209639601489","0.11467663797269"
"78","0.6188210950266","0.099452654587387"
"79","0.59893172185338","0.091815570937731"
"80","0","0"